"predicted_x","predicted_y","frame_index"
-0.949534946113737,2.5,4
-1.10062563859305,3,4
-1.27483196588433,3.5,4
-1.47394872358504,4,4
-1.69977070729266,4.5,4
NA,5,4
NA,-5,5
NA,-4.5,5
NA,-4,5
NA,-3.5,5
-1.35217635889276,-3,5
-1.15136403975792,-2.5,5
-0.982926883601809,-2,5
-0.848265913070864,-1.5,5
-0.747107946241807,-1,5
-0.680118676181033,-0.5,5
-0.645171096129488,0,5
-0.647007240798125,0.5,5
-0.684165923113691,1,5
-0.763140621805097,1.5,5
-0.862345032325865,2,5
-0.97940235496114,2.5,5
-1.11468976078102,3,5
-1.26989545420773,3.5,5
-1.4467076396635,4,5
-1.64681452157056,4.5,5
NA,5,5
NA,-4,6
NA,-3.5,6
-1.45225274438988,-3,6
-1.25382563611036,-2.5,6
-1.08691685334953,-2,6
-0.952983097779922,-1.5,6
-0.851483385229715,-1,6
-0.783510206763164,-0.5,6
-0.746517417822729,0,6
-0.749572814277635,0.5,6
-0.786736817190211,1,6
-0.859768538152805,1.5,6
-0.955191510156256,2,6
-1.07727959246007,2.5,6
-1.22121906381761,3,6
-1.38732316979472,3.5,6
-1.57961087920581,4,6
NA,-4,7
-1.87707087966387,-3.5,7
-1.63161191623606,-3,7
-1.42135768276478,-2.5,7
-1.24607626944361,-2,7
-1.1062710355297,-1.5,7
-1.00181194942232,-1,7
-0.932961995039442,-0.5,7
-0.899019185668122,0,7
-0.907034888898951,0.5,7
-0.948099852984686,1,7
-1.01794059637052,1.5,7
-1.11212434129816,2,7
-1.23385839302417,2.5,7
-1.38013474382057,3,7
-1.55105772523261,3.5,7
-1.74945743201906,4,7
NA,-5,8
NA,-4.5,8
NA,-4,8
-2.05972272549213,-3.5,8
-1.81521169261413,-3,8
-1.60589347598123,-2.5,8
-1.4319931159266,-2,8
-1.29318956216848,-1.5,8
-1.18932038123383,-1,8
-1.12045375794728,-0.5,8
-1.08665608074898,0,8
-1.09646359905694,0.5,8
-1.13754747903986,1,8
-1.20362165735602,1.5,8
-1.28425402011189,2,8
-1.38545796403376,2.5,8
-1.5021087228869,3,8
-1.63367026879417,3.5,8
-1.78315131503661,4,8
-1.95356057489531,4.5,8
NA,5,8
NA,-5,9
NA,-4.5,9
-2.4536493158198,-4,9
-2.1952818882382,-3.5,9
-1.96871765657461,-3,9
-1.77367728577775,-2.5,9
-1.61087633813651,-2,9
-1.47952842589602,-1.5,9
-1.38054955198785,-1,9
-1.31196323241658,-0.5,9
-1.27683201049785,0,9
-1.28872746288396,0.5,9
-1.33009265676258,1,9
-1.39253959987245,1.5,9
-1.47067169841769,2,9
-1.5700557864276,2.5,9
-1.68627225490498,3,9
-1.8189545277202,3.5,9
-1.97070815596071,4,9
-2.14413869071399,4.5,9
NA,5,9
NA,-5,10
-2.8207657438086,-4.5,10
-2.56186432765033,-4,10
-2.33194525779695,-3.5,10
-2.12648362202983,-3,10
-1.94695638166548,-2.5,10
-1.79543809931018,-2,10
-1.66921193262649,-1.5,10
-1.57168945389576,-1,10
-1.49897495686727,-0.5,10
-1.45829064964262,0,10
-1.47144214121903,0.5,10
-1.51244456050248,1,10
-1.5691351697567,1.5,10
-1.64181066948932,2,10
-1.73568879792501,2.5,10
-1.84653486133054,3,10
-1.97384730539392,3.5,10
-2.12026432333199,4,10
-2.28842410836157,4.5,10
NA,5,10
NA,-5,11
-2.92715304587517,-4.5,11
-2.68436781138837,-4,11
-2.46879925719324,-3.5,11
-2.27558691118721,-3,11
-2.10629119926888,-2.5,11
-1.96321100821013,-2,11
-1.84389712981737,-1.5,11
-1.75142013059648,-1,11
-1.6800303805868,-0.5,11
-1.63828893020499,0,11
-1.65059151758679,0.5,11
-1.68930328276698,1,11
-1.74394406788761,1.5,11
-1.80548670996646,2,11
-1.88261492822687,2.5,11
-1.96958996754915,3,11
-2.0655372545405,3.5,11
-2.17293864414009,4,11
-2.29427599128712,4.5,11
-2.43203115092079,5,11
-3.10738849777616,-5,12
-2.89710690544943,-4.5,12
-2.70942416997245,-4,12
-2.53908950357257,-3.5,12
-2.38085211847714,-3,12
-2.23865117698187,-2.5,12
-2.11648016167782,-2,12
-2.01003855666539,-1.5,12
-1.92491496774537,-1,12
-1.85270671531888,-0.5,12
-1.80657603224094,0,12
-1.82070246246786,0.5,12
-1.85818047989408,1,12
